split point, sample size, kernel, penalty param, gamma, fit time, train time, test time, train mse, test mse, train mae, test mae, accuracy, precision, recall,cv1,,,,,,,,
0.2,500,linear,4,10,0.005457878,0.001784086,0.000487089,0.105,0.11,0.105,0.11,0.895,0,0.00.909090909091,0.8,0.8,0.9,0.8,0.9,0.9,0.7,1,0.888888889
0.2,500,linear,4,100,0.006976128,0.002093792,0.00104928,0.105,0.11,0.105,0.11,0.895,0,0.00.909090909091,0.8,0.8,0.9,0.8,0.9,0.9,0.7,1,0.888888889
0.2,500,linear,8,0.1,0.010743141,0.001933098,0.001811028,0.105,0.11,0.105,0.11,0.895,0,0.00.909090909091,0.8,0.8,0.9,0.8,0.9,0.9,0.7,1,0.888888889
0.2,500,linear,8,10,0.011633158,0.001967907,0.001271963,0.105,0.11,0.105,0.11,0.895,0,0.00.909090909091,0.8,0.8,0.9,0.8,0.9,0.9,0.7,1,0.888888889
0.2,500,linear,8,100,0.011915922,0.002007961,0.001121044,0.105,0.11,0.105,0.11,0.895,0,0.00.909090909091,0.8,0.8,0.9,0.8,0.9,0.9,0.7,1,0.888888889
0.2,500,rbf,1,0.1,0.003722906,0.002587318,0.000699043,0.07,0.11,0.07,0.11,0.93,1,0.3333333333330.818181818182,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.888888889
0.2,500,rbf,1,10,0.009855032,0.007120848,0.001544952,0,0.11,0,0.11,1,1,1.00.818181818182,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.888888889
0.2,500,rbf,1,100,0.00719285,0.003812075,0.000990868,0,0.11,0,0.11,1,1,1.00.818181818182,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.888888889
0.2,500,rbf,2,0.1,0.005210876,0.00259614,0.000702858,0.035,0.1,0.035,0.1,0.965,1,0.6666666666670.909090909091,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.888888889
0.2,500,rbf,2,10,0.011276722,0.004900217,0.001256943,0,0.11,0,0.11,1,1,1.00.818181818182,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.888888889
0.2,500,rbf,2,100,0.009125233,0.004476786,0.001324892,0,0.11,0,0.11,1,1,1.00.818181818182,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.888888889
0.2,500,rbf,4,0.1,0.005292892,0.002529144,0.001257896,0.01,0.11,0.01,0.11,0.99,1,0.9047619047620.909090909091,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.888888889
0.2,500,rbf,4,10,0.012942076,0.004907608,0.001288176,0,0.11,0,0.11,1,1,1.00.818181818182,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.888888889
0.2,500,rbf,4,100,0.007985353,0.003866911,0.000993967,0,0.11,0,0.11,1,1,1.00.818181818182,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.888888889
0.2,500,rbf,8,0.1,0.005159855,0.002527952,0.001262903,0.0025,0.1,0.0025,0.1,0.9975,1,0.976190476190.909090909091,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.888888889
0.2,500,rbf,8,10,0.011136055,0.006280899,0.001976728,0,0.11,0,0.11,1,1,1.00.818181818182,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.888888889
0.2,500,rbf,8,100,0.009226084,0.003949881,0.001107931,0,0.11,0,0.11,1,1,1.00.818181818182,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.888888889
0.2,500,poly,1,0.1,0.004216909,0.001774073,0.000468016,0.035,0.09,0.035,0.09,0.965,1,0.6666666666670.909090909091,0.9,0.9,0.9,0.9,0.9,0.9,0.8,1,0.888888889
0.2,500,poly,1,10,0.003665209,0.001749754,0.000461102,0,0.18,0,0.18,1,1,1.00.818181818182,1,0.9,0.9,0.5,0.9,0.8,0.7,1,0.777777778
0.2,500,poly,1,100,0.003656864,0.001740217,0.00048995,0,0.18,0,0.18,1,1,1.00.818181818182,1,0.9,0.9,0.5,0.9,0.8,0.7,1,0.777777778
0.2,500,poly,2,0.1,0.003242016,0.001652002,0.000463009,0.02,0.12,0.02,0.12,0.98,1,0.8095238095240.909090909091,1,0.9,0.9,0.9,0.9,0.9,0.8,1,0.888888889
0.2,500,poly,2,10,0.003661156,0.001703024,0.000476122,0,0.18,0,0.18,1,1,1.00.818181818182,1,0.9,0.9,0.5,0.9,0.8,0.7,1,0.777777778
0.2,500,poly,2,100,0.003951788,0.001875877,0.000485182,0,0.18,0,0.18,1,1,1.00.818181818182,1,0.9,0.9,0.5,0.9,0.8,0.7,1,0.777777778
0.2,500,poly,4,0.1,0.004308224,0.001691818,0.000458956,0.005,0.13,0.005,0.13,0.995,1,0.9523809523811.0,0.9,0.9,0.9,0.9,0.9,0.9,0.8,1,0.888888889
0.2,500,poly,4,10,0.005218029,0.001851797,0.000879049,0,0.18,0,0.18,1,1,1.00.818181818182,1,0.9,0.9,0.5,0.9,0.8,0.7,1,0.777777778
0.2,500,poly,4,100,0.00366497,0.001707077,0.000475883,0,0.18,0,0.18,1,1,1.00.818181818182,1,0.9,0.9,0.5,0.9,0.8,0.7,1,0.777777778
0.2,500,poly,8,0.1,0.00378108,0.00169301,0.00046587,0.0025,0.17,0.0025,0.17,0.9975,1,0.976190476191.0,0.9,0.9,0.9,0.9,0.9,0.9,0.8,1,0.888888889
0.2,500,poly,8,10,0.003602982,0.001737118,0.00048995,0,0.18,0,0.18,1,1,1.00.818181818182,1,0.9,0.9,0.5,0.9,0.8,0.7,1,0.777777778
0.2,500,poly,8,100,0.003586054,0.001701117,0.000478983,0,0.18,0,0.18,1,1,1.00.818181818182,1,0.9,0.9,0.5,0.9,0.8,0.7,1,0.777777778
0.4,500,linear,1,0.1,0.005059719,0.001107216,0.000673056,0.086666667,0.125,0.086666667,0.125,0.913333333,0.75,0.1071428571430.809523809524,0.904761905,0.904761905,0.857142857,0.857142857,0.842105263,0.894736842,0.789473684,0.894736842,0.894736842
0.4,500,linear,1,10,0.006189823,0.001134157,0.000739098,0.086666667,0.125,0.086666667,0.125,0.913333333,0.75,0.1071428571430.809523809524,0.904761905,0.904761905,0.857142857,0.857142857,0.842105263,0.894736842,0.789473684,0.894736842,0.894736842
