sample size, kernel, C, gamma, fit time, train time, test time, train mse, test mse, train mae, test mae, accuracy, precision, recall
100,3,16,0.0001,0.00048399,0.000306129,0.000166893,0.1875,0.1,0.1875,0.1,0.8125,0,0
500,1,1,0.1,0.007379055,0.001608849,0.000699043,0.1,0.09,0.1,0.09,0.9,0.666666667,0.181818182
500,1,1,0.01,0.030166864,0.001762867,0.0014112,0.1,0.09,0.1,0.09,0.9,0.666666667,0.181818182
500,1,1,0.001,0.010802984,0.017812967,0.000566006,0.1,0.09,0.1,0.09,0.9,0.666666667,0.181818182
500,1,1,0.0001,0.007196903,0.000917912,0.000259161,0.1,0.09,0.1,0.09,0.9,0.666666667,0.181818182
500,1,2,0.1,0.005328894,0.00081706,0.000252962,0.1,0.09,0.1,0.09,0.9,0.666666667,0.181818182
500,1,2,0.01,0.005218267,0.000806808,0.000234127,0.1,0.09,0.1,0.09,0.9,0.666666667,0.181818182
500,1,2,0.001,0.006205082,0.001465797,0.001615286,0.1,0.09,0.1,0.09,0.9,0.666666667,0.181818182
500,1,2,0.0001,0.011311769,0.001430035,0.00045681,0.1,0.09,0.1,0.09,0.9,0.666666667,0.181818182
500,1,4,0.1,0.014497757,0.001199245,0.000674725,0.1,0.09,0.1,0.09,0.9,0.666666667,0.181818182
500,1,4,0.01,0.018808842,0.000816107,0.000322819,0.1,0.09,0.1,0.09,0.9,0.666666667,0.181818182
500,1,4,0.001,0.018023968,0.001612902,0.000648975,0.1,0.09,0.1,0.09,0.9,0.666666667,0.181818182
500,1,4,0.0001,0.024376631,0.001527071,0.000718117,0.1,0.09,0.1,0.09,0.9,0.666666667,0.181818182
500,1,8,0.1,0.027905941,0.001349688,0.000559807,0.1,0.09,0.1,0.09,0.9,0.666666667,0.181818182
500,1,8,0.01,0.024751902,0.000818968,0.000244379,0.1,0.09,0.1,0.09,0.9,0.666666667,0.181818182
500,1,8,0.001,0.016241789,0.000870943,0.000441074,0.1,0.09,0.1,0.09,0.9,0.666666667,0.181818182
500,1,8,0.0001,0.020890951,0.001045942,0.000592947,0.1,0.09,0.1,0.09,0.9,0.666666667,0.181818182
500,1,16,0.1,0.042162895,0.001539707,0.00055027,0.1,0.09,0.1,0.09,0.9,0.666666667,0.181818182
500,1,16,0.01,0.04575491,0.001556158,0.000524998,0.1,0.09,0.1,0.09,0.9,0.666666667,0.181818182
500,1,16,0.001,0.044147968,0.001451015,0.001438379,0.1,0.09,0.1,0.09,0.9,0.666666667,0.181818182
500,1,16,0.0001,0.02718401,0.001205921,0.000390291,0.1,0.09,0.1,0.09,0.9,0.666666667,0.181818182
500,2,1,0.1,0.005292177,0.002795935,0.000819921,0.0675,0.09,0.0675,0.09,0.9325,1,0.386363636
500,2,1,0.01,0.003783941,0.002668142,0.000488043,0.11,0.09,0.11,0.09,0.89,0,0
500,2,1,0.001,0.002737999,0.00208497,0.000545979,0.11,0.09,0.11,0.09,0.89,0,0
500,2,1,0.0001,0.002844095,0.001392841,0.000453234,0.11,0.09,0.11,0.09,0.89,0,0
500,2,2,0.1,0.004554987,0.003037214,0.000930071,0.045,0.09,0.045,0.09,0.955,0.964285714,0.613636364
500,2,2,0.01,0.004772902,0.001550913,0.000484228,0.1075,0.09,0.1075,0.09,0.8925,1,0.022727273
500,2,2,0.001,0.003973007,0.002067804,0.000743151,0.11,0.09,0.11,0.09,0.89,0,0
500,2,2,0.0001,0.003160715,0.002101898,0.00065589,0.11,0.09,0.11,0.09,0.89,0,0
500,2,4,0.1,0.005875826,0.003183126,0.001019001,0.0225,0.09,0.0225,0.09,0.9775,1,0.795454545
500,2,4,0.01,0.005464077,0.004181147,0.000754118,0.0925,0.1,0.0925,0.1,0.9075,1,0.159090909
500,2,4,0.001,0.003898144,0.002039671,0.001035929,0.11,0.09,0.11,0.09,0.89,0,0
500,2,4,0.0001,0.003417969,0.002223015,0.000673056,0.11,0.09,0.11,0.09,0.89,0,0
500,2,8,0.1,0.006700039,0.003485918,0.001070738,0.015,0.09,0.015,0.09,0.985,1,0.863636364
500,2,8,0.01,0.004913092,0.002199173,0.000720978,0.08,0.09,0.08,0.09,0.92,1,0.272727273
500,2,8,0.001,0.003921032,0.00202775,0.000709295,0.11,0.09,0.11,0.09,0.89,0,0
500,2,8,0.0001,0.003417015,0.002125978,0.000849724,0.11,0.09,0.11,0.09,0.89,0,0
500,2,16,0.1,0.008341074,0.002968073,0.000869989,0.005,0.12,0.005,0.12,0.995,1,0.954545455
500,2,16,0.01,0.005744934,0.002105236,0.000622749,0.0725,0.09,0.0725,0.09,0.9275,1,0.340909091
500,2,16,0.001,0.005855083,0.003408909,0.001471996,0.11,0.09,0.11,0.09,0.89,0,0
500,2,16,0.0001,0.00332284,0.007297039,0.000829935,0.11,0.09,0.11,0.09,0.89,0,0
500,3,1,0.1,0.007496119,0.001863956,0.000648975,0.0525,0.09,0.0525,0.09,0.9475,1,0.522727273
500,3,1,0.01,0.001732111,0.001183033,0.000541925,0.11,0.09,0.11,0.09,0.89,0,0
500,3,1,0.001,0.001795053,0.001195192,0.000413179,0.11,0.09,0.11,0.09,0.89,0,0
500,3,1,0.0001,0.002157927,0.000847101,0.000404119,0.11,0.09,0.11,0.09,0.89,0,0
500,3,2,0.1,0.003697872,0.001031876,0.000319958,0.0375,0.1,0.0375,0.1,0.9625,1,0.659090909
500,3,2,0.01,0.002856016,0.001159906,0.000353098,0.11,0.09,0.11,0.09,0.89,0,0
500,3,2,0.001,0.001307726,0.000823021,0.000261784,0.11,0.09,0.11,0.09,0.89,0,0
500,3,2,0.0001,0.001939058,0.001394749,0.000594854,0.11,0.09,0.11,0.09,0.89,0,0
500,3,4,0.1,0.005037785,0.001792908,0.000586987,0.025,0.11,0.025,0.11,0.975,1,0.772727273
500,3,4,0.01,0.006673813,0.001717091,0.000353098,0.11,0.09,0.11,0.09,0.89,0,0
500,3,4,0.001,0.003183842,0.003502131,0.000739813,0.11,0.09,0.11,0.09,0.89,0,0
500,3,4,0.0001,0.001238108,0.001574278,0.000533104,0.11,0.09,0.11,0.09,0.89,0,0
500,3,8,0.1,0.027556181,0.002579212,0.000822067,0.02,0.13,0.02,0.13,0.98,1,0.818181818
500,3,8,0.01,0.00487113,0.002177715,0.001151085,0.105,0.09,0.105,0.09,0.895,1,0.045454545
500,3,8,0.001,0.002314806,0.003773212,0.000607252,0.11,0.09,0.11,0.09,0.89,0,0
500,3,8,0.0001,0.003168344,0.001703978,0.00052309,0.11,0.09,0.11,0.09,0.89,0,0
500,3,16,0.1,0.009787798,0.002048969,0.000712156,0.0125,0.17,0.0125,0.17,0.9875,1,0.886363636
500,3,16,0.01,0.005553007,0.002304077,0.000749111,0.1,0.09,0.1,0.09,0.9,1,0.090909091
500,3,16,0.001,0.002750874,0.001543045,0.000801802,0.11,0.09,0.11,0.09,0.89,0,0
500,3,16,0.0001,0.002003193,0.001579046,0.000545025,0.11,0.09,0.11,0.09,0.89,0,0
1000,1,1,0.1,0.018110037,0.003777742,0.000818968,0.0975,0.115,0.0975,0.115,0.9025,0.733333333,0.333333333
1000,1,1,0.01,0.016541004,0.005178928,0.000849962,0.0975,0.115,0.0975,0.115,0.9025,0.733333333,0.333333333
1000,1,1,0.001,0.031066179,0.004603148,0.001848936,0.0975,0.115,0.0975,0.115,0.9025,0.733333333,0.333333333
1000,1,1,0.0001,0.021788836,0.003326893,0.001332045,0.0975,0.115,0.0975,0.115,0.9025,0.733333333,0.333333333
1000,1,2,0.1,0.038020134,0.004964113,0.001251936,0.0975,0.115,0.0975,0.115,0.9025,0.733333333,0.333333333
1000,1,2,0.01,0.040498018,0.00453186,0.001403809,0.0975,0.115,0.0975,0.115,0.9025,0.733333333,0.333333333
1000,1,2,0.001,0.032659054,0.005728006,0.001377106,0.0975,0.115,0.0975,0.115,0.9025,0.733333333,0.333333333
1000,1,2,0.0001,0.046294928,0.004756927,0.002732754,0.0975,0.115,0.0975,0.115,0.9025,0.733333333,0.333333333
1000,1,4,0.1,0.072656155,0.004526138,0.001248837,0.0975,0.115,0.0975,0.115,0.9025,0.733333333,0.333333333
1000,1,4,0.01,0.070764065,0.005007982,0.001456976,0.0975,0.115,0.0975,0.115,0.9025,0.733333333,0.333333333
1000,1,4,0.001,0.073830128,0.003331661,0.000775814,0.0975,0.115,0.0975,0.115,0.9025,0.733333333,0.333333333
1000,1,4,0.0001,0.054843903,0.003726006,0.00132513,0.0975,0.115,0.0975,0.115,0.9025,0.733333333,0.333333333
1000,1,8,0.1,0.112880945,0.002645016,0.000877142,0.1,0.115,0.1,0.115,0.9,0.70212766,0.333333333
1000,1,8,0.01,0.084612131,0.004974127,0.001562119,0.1,0.115,0.1,0.115,0.9,0.70212766,0.333333333
1000,1,8,0.001,0.095527887,0.002641916,0.000712872,0.1,0.115,0.1,0.115,0.9,0.70212766,0.333333333
1000,1,8,0.0001,0.088675261,0.004873037,0.00165987,0.1,0.115,0.1,0.115,0.9,0.70212766,0.333333333
1000,1,16,0.1,0.166878939,0.008895159,0.002063036,0.09875,0.115,0.09875,0.115,0.90125,0.717391304,0.333333333
1000,1,16,0.01,0.176433802,0.005300045,0.001452923,0.09875,0.115,0.09875,0.115,0.90125,0.717391304,0.333333333
1000,1,16,0.001,0.166697979,0.002608776,0.000755072,0.09875,0.115,0.09875,0.115,0.90125,0.717391304,0.333333333
1000,1,16,0.0001,0.24652791,0.00470686,0.001327038,0.09875,0.115,0.09875,0.115,0.90125,0.717391304,0.333333333
1000,2,1,0.1,0.020370007,0.009961128,0.002735138,0.0725,0.105,0.0725,0.105,0.9275,0.955555556,0.434343434
1000,2,1,0.01,0.010575056,0.006906033,0.001937151,0.1075,0.105,0.1075,0.105,0.8925,0.933333333,0.141414141
1000,2,1,0.001,0.009704113,0.006824017,0.003396273,0.12375,0.11,0.12375,0.11,0.87625,0,0
1000,2,1,0.0001,0.010478258,0.020424843,0.033376932,0.12375,0.11,0.12375,0.11,0.87625,0,0
1000,2,2,0.1,0.037405252,0.009597063,0.012999058,0.0475,0.1,0.0475,0.1,0.9525,0.969230769,0.636363636
1000,2,2,0.01,0.014559984,0.009264231,0.001816988,0.095,0.105,0.095,0.105,0.905,0.828571429,0.292929293
1000,2,2,0.001,0.012881041,0.007782221,0.001593828,0.12375,0.11,0.12375,0.11,0.87625,0,0
1000,2,2,0.0001,0.01413393,0.007995129,0.002209187,0.12375,0.11,0.12375,0.11,0.87625,0,0
1000,2,4,0.1,0.022945881,0.009745836,0.00263381,0.035,0.105,0.035,0.105,0.965,0.973333333,0.737373737
1000,2,4,0.01,0.017260075,0.008399248,0.001170158,0.0925,0.1,0.0925,0.1,0.9075,0.857142857,0.303030303
1000,2,4,0.001,0.053119421,0.00797224,0.002206802,0.12375,0.11,0.12375,0.11,0.87625,0,0
1000,2,4,0.0001,0.01203084,0.007497072,0.002120018,0.12375,0.11,0.12375,0.11,0.87625,0,0
1000,2,8,0.1,0.017604113,0.007930994,0.001566887,0.0225,0.115,0.0225,0.115,0.9775,0.976470588,0.838383838
1000,2,8,0.01,0.009395123,0.005990028,0.001926899,0.0875,0.1,0.0875,0.1,0.9125,0.853658537,0.353535354
1000,2,8,0.001,0.008929968,0.004258156,0.001124144,0.12,0.11,0.12,0.11,0.88,0.8,0.04040404
1000,2,8,0.0001,0.010126114,0.006963015,0.00189209,0.12375,0.11,0.12375,0.11,0.87625,0,0
1000,2,16,0.1,0.021743059,0.010597944,0.00245595,0.01,0.12,0.01,0.12,0.99,0.989247312,0.929292929
1000,2,16,0.01,0.019682646,0.008746862,0.006082773,0.07875,0.1,0.07875,0.1,0.92125,0.928571429,0.393939394
1000,2,16,0.001,0.014008045,0.008052826,0.001745939,0.09625,0.105,0.09625,0.105,0.90375,0.823529412,0.282828283
1000,2,16,0.0001,0.007482052,0.004125834,0.001080751,0.12375,0.11,0.12375,0.11,0.87625,0,0
1000,3,1,0.1,0.013925076,0.003118992,0.000893116,0.055,0.1,0.055,0.1,0.945,0.98245614,0.565656566
1000,3,1,0.01,0.008477926,0.003296137,0.000961065,0.12375,0.11,0.12375,0.11,0.87625,0,0
1000,3,1,0.001,0.006630898,0.003805876,0.001030922,0.12375,0.11,0.12375,0.11,0.87625,0,0
1000,3,1,0.0001,0.004789114,0.00368619,0.000809431,0.12375,0.11,0.12375,0.11,0.87625,0,0
1000,3,2,0.1,0.014973879,0.00663209,0.003273964,0.04625,0.12,0.04625,0.12,0.95375,0.96969697,0.646464646
1000,3,2,0.01,0.011450052,0.006464958,0.001719713,0.12375,0.11,0.12375,0.11,0.87625,0,0
1000,3,2,0.001,0.006710052,0.005050182,0.00168705,0.12375,0.11,0.12375,0.11,0.87625,0,0
1000,3,2,0.0001,0.007969141,0.006243944,0.002175093,0.12375,0.11,0.12375,0.11,0.87625,0,0
1000,3,4,0.1,0.02666688,0.005908012,0.00091815,0.035,0.12,0.035,0.12,0.965,0.973333333,0.737373737
1000,3,4,0.01,0.005708218,0.003590822,0.001310825,0.12375,0.11,0.12375,0.11,0.87625,0,0
1000,3,4,0.001,0.004178047,0.003181934,0.000800848,0.12375,0.11,0.12375,0.11,0.87625,0,0
1000,3,4,0.0001,0.003796101,0.004540205,0.002265215,0.12375,0.11,0.12375,0.11,0.87625,0,0
1000,3,8,0.1,0.025540113,0.005279303,0.001126051,0.02375,0.12,0.02375,0.12,0.97625,0.976190476,0.828282828
1000,3,8,0.01,0.014304876,0.006493807,0.001173973,0.1225,0.11,0.1225,0.11,0.8775,1,0.01010101
1000,3,8,0.001,0.005310059,0.005333662,0.001451969,0.12375,0.11,0.12375,0.11,0.87625,0,0
1000,3,8,0.0001,0.007810116,0.008009911,0.00419879,0.12375,0.11,0.12375,0.11,0.87625,0,0
1000,3,16,0.1,0.038542032,0.007951736,0.001513958,0.01625,0.125,0.01625,0.125,0.98375,0.988636364,0.878787879
1000,3,16,0.01,0.010337114,0.006923199,0.001632929,0.1025,0.105,0.1025,0.105,0.8975,1,0.171717172
1000,3,16,0.001,0.003891945,0.002743959,0.000748158,0.12375,0.11,0.12375,0.11,0.87625,0,0
1000,3,16,0.0001,0.003574848,0.003911018,0.000809908,0.12375,0.11,0.12375,0.11,0.87625,0,0
3000,1,1,0.1,0.142254829,0.02615118,0.006251097,0.119583333,0.135,0.119583333,0.135,0.880416667,0,0
3000,1,1,0.01,0.131943941,0.045509815,0.00759697,0.119583333,0.135,0.119583333,0.135,0.880416667,0,0
