sample size, layer size,node size, activation, solver, fit time, train time, test time, train mse, test mse, train mae, test mae, accuracy, precision, recall
3000,3,500,relu,sgd,163.1165428,0.244220018,0.034720898,0.09875,0.106666667,0.09875,0.106666667,0.90125,0.672727273,0.37755102
8000,2,500,logistic,lbfgs,162.0618231,0.411118984,0.078621149,0.1003125,0.09375,0.1003125,0.09375,0.8996875,0.644230769,0.351706037
8000,2,500,tanh,lbfgs,157.254802,0.435631037,0.074008942,0,0.129375,0,0.129375,1,1,1
5000,3,500,tanh,lbfgs,156.252871,0.388814926,0.173568964,0,0.138,0,0.138,1,1,1
8000,5,500,relu,adam,154.5496609,0.849619865,0.229062796,0.01078125,0.115625,0.01078125,0.115625,0.98921875,0.934755332,0.977690289
30000,1,500,logistic,lbfgs,149.2160852,0.52107501,0.120221138,0.094333333,0.094833333,0.094333333,0.094833333,0.905666667,0.659770115,0.407092199
5000,2,500,relu,sgd,149.104553,0.197083235,0.028581858,0.098,0.101,0.098,0.101,0.902,0.63986014,0.387711864
45212,1,500,tanh,lbfgs,146.083921,0.360317945,0.091813803,0.07453897,0.099082163,0.07453897,0.099082163,0.92546103,0.731325301,0.573724008
5000,3,500,tanh,lbfgs,145.7198122,0.420603037,0.089130163,0,0.127,0,0.127,1,1,1
5000,2,500,tanh,adam,144.6040871,0.22164011,0.040534973,0,0.122,0,0.122,1,1,1
5000,3,500,tanh,adam,143.6141841,0.363575935,0.146410942,0.0005,0.124,0.0005,0.124,0.9995,0.995780591,1
5000,3,500,tanh,adam,142.3346198,0.358283997,0.131471872,0.0005,0.128,0.0005,0.128,0.9995,0.995780591,1
3000,5,500,relu,lbfgs,132.42573,0.603415251,0.165858984,0,0.136666667,0,0.136666667,1,1,1
45212,1,500,logistic,lbfgs,125.0260201,0.358348608,0.092741013,0.09690619,0.099192746,0.09690619,0.099192746,0.90309381,0.643619123,0.384924386
1000,5,500,relu,sgd,124.394305,0.089874029,0.027817965,0.09875,0.1,0.09875,0.1,0.90125,0.75,0.278350515
3000,2,500,relu,sgd,123.2664409,0.209976912,0.05705595,0.10375,0.111666667,0.10375,0.111666667,0.89625,0.651006711,0.329931973
8000,2,500,relu,lbfgs,121.303766,0.241776228,0.11238122,0,0.11875,0,0.11875,1,1,1
5000,5,500,relu,adam,119.301003,0.55529213,0.178943872,0.006,0.123,0.006,0.123,0.994,0.99339207,0.955508475
30000,5,500,identity,sgd,115.7926772,2.765163898,0.763172865,0.104333333,0.102666667,0.104333333,0.102666667,0.895666667,0.628664495,0.273758865
10000,3,500,relu,adam,114.572087,0.583209991,0.196727037,0.0145,0.1275,0.0145,0.1275,0.9855,0.947939262,0.927813163
45212,1,500,relu,lbfgs,111.0314891,0.256593943,0.064241886,0.053471205,0.105717129,0.053471205,0.105717129,0.946528795,0.827910959,0.685491493
3000,3,500,tanh,lbfgs,110.2793491,0.241727829,0.172051907,0,0.138333333,0,0.138333333,1,1,1
10000,3,500,relu,adam,108.8948791,0.660600901,0.188798904,0.0185,0.1215,0.0185,0.1215,0.9815,0.98062954,0.859872611
5000,2,500,logistic,lbfgs,107.6761622,0.209548712,0.045532942,0.09925,0.099,0.09925,0.099,0.90075,0.621359223,0.406779661
8000,3,500,relu,adam,106.869699,0.468253851,0.096781254,0.01921875,0.123125,0.01921875,0.123125,0.98078125,0.897882939,0.946194226
3000,2,500,tanh,adam,105.8622589,0.210505009,0.024674177,0,0.133333333,0,0.133333333,1,1,1
30000,3,500,identity,adam,102.9105568,1.431419849,0.406640768,0.10375,0.101333333,0.10375,0.101333333,0.89625,0.633711507,0.277304965
10000,2,500,relu,adam,100.460706,0.366000175,0.095353842,0.023625,0.1175,0.023625,0.1175,0.976375,0.96538937,0.829087049
45212,1,500,tanh,adam,98.77243781,0.448988199,0.105669975,0.080068567,0.097312839,0.080068567,0.097312839,0.919931433,0.722222222,0.512996219
3000,2,500,logistic,lbfgs,96.17225504,0.203186274,0.14370513,0.1,0.118333333,0.1,0.118333333,0.9,0.7109375,0.30952381
3000,5,500,tanh,adam,94.46649289,0.485622883,0.090943098,0.007916667,0.145,0.007916667,0.145,0.992083333,0.989323843,0.945578231
3000,3,500,tanh,lbfgs,94.18634605,0.289178133,0.067246914,0,0.151666667,0,0.151666667,1,1,1
5000,3,500,relu,lbfgs,89.66550708,0.266983032,0.068688869,0,0.121,0,0.121,1,1,1
30000,5,500,identity,lbfgs,86.25446296,2.640372038,0.71906209,0.103916667,0.102,0.103916667,0.102,0.896083333,0.632952692,0.275177305
8000,3,500,relu,adam,82.84698391,0.470577955,0.189645052,0.02046875,0.114375,0.02046875,0.114375,0.97953125,0.98021309,0.845144357
45212,3,500,identity,adam,82.74908686,1.322654009,0.29473114,0.102656971,0.103505474,0.102656971,0.103505474,0.897343029,0.623748212,0.309073724
30000,1,500,tanh,lbfgs,81.48315597,0.235915184,0.062634945,0.069791667,0.096,0.069791667,0.096,0.930208333,0.757303371,0.59751773
5000,3,500,relu,lbfgs,80.14275026,0.276785135,0.127847195,0,0.128,0,0.128,1,1,1
45212,4,50,tanh,adam,78.85690284,0.184910774,0.046061039,0.017943543,0.11611191,0.017943543,0.11611191,0.982056457,0.925029656,0.9213138
8000,3,500,tanh,sgd,78.54134393,0.607483864,0.192974091,0.10328125,0.093125,0.10328125,0.093125,0.89671875,0.63760218,0.307086614
5000,2,500,tanh,lbfgs,77.90417099,0.240274191,0.041424274,0,0.129,0,0.129,1,1,1
8000,2,500,relu,adam,76.5235672,0.258253813,0.057629347,0.0234375,0.11375,0.0234375,0.11375,0.9765625,0.969325153,0.829396325
